"contract_year","department","entries_above_25k","entries_below_25k"
"2018","Natural Resources Canada","645","1337"
"2018","Natural Sciences and Engineering Research Council of Canada","55","67"
"2018","Office of the Auditor General of Canada","70","110"
"2018","Office of the Commissioner for Federal Judicial Affairs Canada","15","49"
"2018","Office of the Commissioner of Lobbying of Canada","11","19"
"2018","Office of the Commissioner of Official Languages","16","46"
"2018","Office of the Information Commissioner of Canada","22","32"
"2018","Office of the Privacy Commissioner of Canada","29","70"
"2018","Office of the Public Sector Integrity Commissioner of Canada","3","9"
"2018","Office of the Secretary to the Governor General","21","27"
"2018","Office of the Superintendent of Financial Institutions Canada","78","159"
"2018","Parks Canada","1280","1508"
"2019","Administrative Tribunals Support Service of Canada","71","35"
"2019","Agriculture and Agri-Food Canada","570","1200"
"2019","Atlantic Canada Opportunities Agency","30","48"
"2019","Canada Border Services Agency","550","354"
"2019","Canada Economic Development for Quebec Regions","28","25"
"2019","Canada Energy Regulator","63","58"
"2019","Canada Revenue Agency","367","260"
"2019","Canada School of Public Service","59","71"
"2019","Canadian Centre for Occupational Health and Safety","4","11"
"2019","Canadian Food Inspection Agency","251","164"
"2019","Canadian Grain Commission","48","83"
"2019","Canadian Heritage","119","202"
"2019","Canadian Human Rights Commission","31","54"
"2019","Canadian Institutes of Health Research","52","225"
"2019","Canadian Intergovernmental Conference Secretariat","5","30"
"2019","Canadian Northern Economic Development Agency","5","14"
"2019","Canadian Nuclear Safety Commission","78","68"
"2019","Canadian Radio-television and Telecommunications Commission","29","55"
"2019","Canadian Space Agency","155","148"
"2019","Canadian Transportation Agency","22","23"
"2019","Civilian Review and Complaints Commission for the RCMP","7","11"
"2019","Correctional Service of Canada","1567","1860"
"2019","Courts Administration Service","153","133"
"2019","Crown-Indigenous Relations and Northern Affairs Canada","325","234"
"2019","Department of Finance Canada","40","58"
"2019","Department of Housing, Infrastructure and Communities","53","42"
"2019","Department of Justice Canada","175","221"
"2019","Elections Canada","183","145"
"2019","Employment and Social Development Canada","654","384"
"2019","Environment and Climate Change Canada","744","1453"
